Date,DailyCases,CumulativeCases,Deaths
2020-02-28,1,1,0
2020-02-29,0,1,0
2020-03-01,2,3,0
2020-03-02,1,4,0
2020-03-03,3,7,0
2020-03-04,6,13,0
2020-03-05,2,15,0
2020-03-06,6,21,0
2020-03-07,6,27,0
2020-03-08,3,30,0
2020-03-09,16,46,0
2020-03-10,21,67,0
2020-03-11,25,92,0
2020-03-12,38,130,1
2020-03-13,48,178,1
2020-03-14,19,197,3
2020-03-15,12,209,3
2020-03-16,21,230,4
2020-03-17,43,273,6
2020-03-18,41,314,6
2020-03-19,50,364,9
2020-03-20,84,448,14
2020-03-21,67,515,20
2020-03-22,74,589,25
2020-03-23,138,727,29
2020-03-24,167,894,36
2020-03-25,188,1082,47
2020-03-26,223,1305,59
2020-03-27,274,1579,70
2020-03-28,204,1783,99
2020-03-29,197,1980,119
2020-03-30,317,2297,149
2020-03-31,341,2638,187
2020-04-01,389,3027,233
2020-04-02,351,3378,269
2020-04-03,381,3759,327
2020-04-04,260,4019,355
2020-04-05,225,4244,402
2020-04-06,404,4648,465
2020-04-07,352,5000,514
2020-04-08,343,5343,568
2020-04-09,304,5647,634
2020-04-10,329,5976,692
2020-04-11,185,6161,742
2020-04-12,220,6381,790
2020-04-13,359,6740,831
2020-04-14,346,7086,882
2020-04-15,331,7417,924
2020-04-16,428,7845,967
2020-04-17,394,8239,1005
2020-04-18,264,8503,1057
2020-04-19,159,8662,1103
2020-04-20,348,9010,1164
2020-04-21,400,9410,1215
2020-04-22,340,9750,1261
2020-04-23,314,10064,1310
2020-04-24,306,10370,1348
2020-04-25,184,10554,1396
2020-04-26,171,10725,1439
2020-04-27,434,11159,1499
2020-04-28,383,11542,1539
2020-04-29,431,11973,1577
2020-04-30,337,12310,1620
2020-05-01,375,12685,1668
2020-05-02,222,12907,1712
2020-05-03,188,13095,1749
2020-05-04,330,13425,1789
2020-05-05,288,13713,1839
2020-05-06,307,14020,1882
2020-05-07,297,14317,1922
2020-05-08,258,14575,1956
2020-05-09,180,14755,1990
2020-05-10,153,14908,2018
2020-05-11,265,15173,2050
2020-05-12,230,15403,2081
2020-05-13,198,15601,2123
2020-05-14,211,15812,2158
2020-05-15,151,15963,2184
2020-05-16,103,16066,2213
2020-05-17,93,16159,2239
2020-05-18,141,16300,2262
2020-05-19,182,16482,2290
2020-05-20,121,16603,2312
2020-05-21,111,16714,2336
2020-05-22,91,16805,2353
2020-05-23,50,16855,2364
2020-05-24,53,16908,2372
2020-05-25,96,17004,2386
2020-05-26,478,17482,2400
2020-05-27,66,17548,2416
2020-05-28,55,17603,2432
2020-05-29,30,17633,2443
2020-05-30,40,17673,2449
2020-05-31,23,17696,2455
2020-06-01,38,17734,2458
2020-06-02,46,17780,2464
2020-06-03,34,17814,2472
2020-06-04,35,17849,2473
2020-06-05,24,17873,2482
2020-06-06,22,17895,2485
2020-06-07,17,17912,2492
2020-06-08,18,17930,2498
2020-06-09,27,17957,2499
2020-06-10,29,17986,2504
2020-06-11,21,18007,2506
2020-06-12,30,18037,2508
2020-06-13,22,18059,2511
2020-06-14,13,18072,2515
2020-06-15,21,18093,2518
2020-06-16,17,18110,2524
2020-06-17,33,18143,2527
2020-06-18,14,18157,2530
2020-06-19,24,18181,2530
2020-06-20,6,18187,2533
2020-06-21,9,18196,2535
2020-06-22,10,18206,2538
2020-06-23,20,18226,2539
2020-06-24,8,18234,2540
2020-06-25,19,18253,2540
2020-06-26,6,18259,2540
2020-06-27,4,18263,2544
2020-06-28,3,18266,2545
2020-06-29,14,18280,2546
2020-06-30,8,18288,2546
2020-07-01,11,18299,2546
2020-07-02,13,18312,2546
2020-07-03,6,18318,2547
2020-07-04,5,18323,2547
2020-07-05,2,18325,2548
2020-07-06,8,18333,2548
2020-07-07,11,18344,2548
2020-07-08,10,18354,2548
2020-07-09,8,18362,2548
2020-07-10,12,18374,2548
2020-07-11,9,18383,2548
2020-07-12,2,18385,2548
2020-07-13,18,18403,2548
2020-07-14,10,18413,2548
2020-07-15,16,18429,2548
2020-07-16,21,18450,2548
2020-07-17,8,18458,2548
2020-07-18,13,18471,2548
2020-07-19,17,18488,2548
2020-07-20,13,18501,2548
2020-07-21,19,18520,2548
2020-07-22,16,18536,2548
2020-07-23,23,18559,2548
2020-07-24,11,18570,2548
2020-07-25,3,18573,2549
2020-07-26,7,18580,2549
2020-07-27,13,18593,2549
2020-07-28,22,18615,2549
2020-07-29,28,18643,2549
2020-07-30,27,18670,2549
2020-07-31,21,18691,2549
2020-08-01,22,18713,2549
2020-08-02,19,18732,2549
2020-08-03,60,18792,2549
2020-08-04,57,18849,2549
2020-08-05,64,18913,2549
2020-08-06,62,18975,2549
2020-08-07,46,19021,2549
2020-08-08,27,19048,2549
2020-08-09,26,19074,2549
2020-08-10,57,19131,2549
2020-08-11,64,19195,2549
2020-08-12,48,19243,2549
2020-08-13,52,19295,2549
2020-08-14,50,19345,2549
2020-08-15,20,19365,2549
2020-08-16,30,19395,2549
2020-08-17,72,19467,2549
2020-08-18,77,19544,2549
2020-08-19,91,19635,2550
2020-08-20,140,19775,2550
2020-08-21,90,19865,2550
2020-08-22,47,19912,2551
2020-08-23,65,19977,2552
2020-08-24,60,20037,2552
2020-08-25,69,20106,2552
2020-08-26,97,20203,2552
2020-08-27,99,20302,2552
2020-08-28,104,20406,2553
2020-08-29,95,20501,2553
2020-08-30,102,20603,2553
2020-08-31,144,20747,2553
2020-09-01,199,20946,2553
2020-09-02,191,21137,2554
2020-09-03,200,21337,2555
2020-09-04,171,21508,2556
2020-09-05,136,21644,2556
2020-09-06,153,21797,2556
2020-09-07,167,21964,2556
2020-09-08,102,22066,2556
2020-09-09,222,22288,2556
2020-09-10,216,22504,2556
2020-09-11,209,22713,2556
2020-09-12,207,22920,2556
2020-09-13,166,23086,2557
2020-09-14,177,23263,2560
2020-09-15,227,23490,2560
2020-09-16,268,23758,2560
2020-09-17,254,24012,2561
2020-09-18,269,24281,2563
2020-09-19,232,24513,2563
2020-09-20,315,24828,2566
2020-09-21,454,25282,2568
2020-09-22,493,25775,2570
2020-09-23,567,26342,2572
2020-09-24,715,27057,2574
2020-09-25,577,27634,2575
2020-09-26,434,28068,2577
2020-09-27,357,28425,2579
2020-09-28,624,29049,2582
2020-09-29,659,29708,2583
2020-09-30,794,30502,2587
2020-10-01,778,31280,2592
2020-10-02,817,32097,2593
2020-10-03,695,32792,2596
2020-10-04,741,33533,2599
2020-10-05,1098,34631,2601
2020-10-06,1189,35820,2605
2020-10-07,1251,37071,2614
2020-10-08,1170,38241,2625
2020-10-09,1095,39336,2631
2020-10-10,938,40274,2642
2020-10-11,957,41231,2653
2020-10-12,1352,42583,2661
2020-10-13,1420,44003,2673
2020-10-14,1288,45291,2679
2020-10-15,1292,46583,2695
2020-10-16,1250,47833,2715
2020-10-17,854,48687,2725
2020-10-18,832,49519,2747
2020-10-19,1354,50873,2763
2020-10-20,1688,52561,2782
2020-10-21,1578,54139,2793
2020-10-22,1491,55630,2810
2020-10-23,1280,56910,2828
2020-10-24,948,57858,2848
2020-10-25,937,58795,2871
2020-10-26,1344,60139,2902
2020-10-27,1301,61440,2918
2020-10-28,1265,62705,2947
2020-10-29,1096,63801,2976
2020-10-30,1089,64890,3011
2020-10-31,741,65631,3035
2020-11-01,969,66600,3070
2020-11-02,1474,68074,3099
2020-11-03,1388,69462,3134
2020-11-04,1300,70762,3153
2020-11-05,1290,72052,3194
2020-11-06,1131,73183,3221
2020-11-07,837,74020,3258
2020-11-08,873,74893,3294
2020-11-09,1295,76188,3336
2020-11-10,1285,77473,3372
2020-11-11,1246,78719,3409
2020-11-12,1194,79913,3441
2020-11-13,1053,80966,3479
2020-11-14,903,81869,3520
2020-11-15,812,82681,3554
2020-11-16,1273,83954,3587
2020-11-17,1224,85178,3623
2020-11-18,1110,86288,3647
2020-11-19,980,87268,3672
2020-11-20,858,88126,3701
2020-11-21,762,88888,3734
2020-11-22,706,89594,3770
2020-11-23,1153,90747,3801
2020-11-24,990,91737,3831
2020-11-25,929,92666,3863
2020-11-26,799,93465,3886
2020-11-27,735,94200,3910
2020-11-28,571,94771,3951
2020-11-29,555,95326,3979
2020-11-30,972,96298,4011
2020-12-01,923,97221,4038
2020-12-02,948,98169,4058
2020-12-03,803,98972,4094
2020-12-04,646,99618,4123
2020-12-05,662,100280,4142
2020-12-06,643,100923,4171
2020-12-07,949,101872,4200
2020-12-08,1040,102912,4228
2020-12-09,996,103908,4251
2020-12-10,891,104799,4274
2020-12-11,864,105663,4294
2020-12-12,677,106340,4317
2020-12-13,720,107060,4343
2020-12-14,1083,108143,4374
2020-12-15,1033,109176,4406
2020-12-16,1028,110204,4437
2020-12-17,911,111115,4473
2020-12-18,920,112035,4496
2020-12-19,747,112782,4523
2020-12-20,812,113594,4552
2020-12-21,1304,114898,4577
2020-12-22,1326,116224,4605
2020-12-23,1313,117537,4640
2020-12-24,1017,118554,4676
2020-12-25,515,119069,4711
2020-12-26,1050,120119,4745
2020-12-27,1681,121800,4779
2020-12-28,1804,123604,4810
2020-12-29,3133,126737,4836
2020-12-30,2963,129700,4868
2020-12-31,2374,132074,4912
2021-01-01,1159,133233,4947
2021-01-02,2211,135444,4989
2021-01-03,2218,137662,5031
2021-01-04,2376,140038,5068
2021-01-05,3050,143088,5108
2021-01-06,2548,145636,5156
2021-01-07,2197,147833,5200
2021-01-08,1823,149656,5242
2021-01-09,1497,151153,5280
2021-01-10,1423,152576,5339
2021-01-11,2087,154663,5387
2021-01-12,1977,156640,5438
2021-01-13,1712,158352,5489
2021-01-14,1620,159972,5547
2021-01-15,1535,161507,5605
2021-01-16,1176,162683,5681
2021-01-17,1199,163882,5724
2021-01-18,1735,165617,5787
2021-01-19,1548,167165,5857
2021-01-20,1572,168737,5923
2021-01-21,1240,169977,5980
2021-01-22,1228,171205,6048
2021-01-23,936,172141,6101
2021-01-24,857,172998,6171
2021-01-25,1318,174316,6223
2021-01-26,1178,175494,6273
2021-01-27,1112,176606,6334
2021-01-28,1113,177719,6380
2021-01-29,961,178680,6439
2021-01-30,779,179459,6483
2021-01-31,809,180268,6531
2021-02-01,1095,181363,6574
2021-02-02,1049,182412,6618
2021-02-03,930,183342,6666
2021-02-04,899,184241,6698
2021-02-05,935,185176,6742
2021-02-06,698,185874,6793
2021-02-07,654,186528,6835
2021-02-08,991,187519,6875
2021-02-09,758,188277,6924
2021-02-10,845,189122,6961
2021-02-11,842,189964,6996
2021-02-12,902,190866,7037
2021-02-13,542,191408,7069
2021-02-14,681,192089,7101
2021-02-15,963,193052,7135
2021-02-16,912,193964,7161
2021-02-17,825,194789,7189
2021-02-18,879,195668,7224
2021-02-19,890,196558,7268
2021-02-20,660,197218,7295
2021-02-21,609,197827,7315
2021-02-22,787,198614,7337
2021-02-23,693,199307,7353
2021-02-24,699,200006,7371
2021-02-25,628,200634,7391
2021-02-26,514,201148,7407
2021-02-27,414,201562,7426
2021-02-28,426,201988,7435
2021-03-01,547,202535,7455
2021-03-02,518,203053,7467
2021-03-03,495,203548,7478
2021-03-04,558,204106,7492
2021-03-05,465,204571,7500
2021-03-06,480,205051,7510
2021-03-07,433,205484,7520
2021-03-08,588,206072,7535
2021-03-09,653,206725,7545
2021-03-10,622,207347,7550
2021-03-11,662,208009,7558
2021-03-12,584,208593,7564
2021-03-13,464,209057,7568
2021-03-14,443,209500,7575
2021-03-15,688,210188,7576
2021-03-16,572,210760,7587
2021-03-17,597,211357,7595
2021-03-18,552,211909,7598
2021-03-19,542,212451,7604
2021-03-20,458,212909,7609
2021-03-21,463,213372,7613
2021-03-22,680,214052,7616
2021-03-23,603,214655,7619
2021-03-24,541,215196,7623
2021-03-25,573,215769,7630
2021-03-26,474,216243,7635
2021-03-27,386,216629,7640
2021-03-28,357,216986,7645
2021-03-29,514,217500,7650
2021-03-30,394,217894,7652
2021-03-31,394,218288,7653
2021-04-01,413,218701,7654
2021-04-02,353,219054,7656
